Roll_No,Gender,Race_Ethnicity,Parental_Level_Of_Education,Lunch,Test_Preparation_Course,Math Score,Reading Score,Writing Score,Science Score,Total Score,Grade _,Eligibility,Percentage,Rank ,,Subject,Centum Count
Std-6617,Female,Group D,Associate'S Degree,0,0,43,77,64,66,250,B,Eligible,62.5,6492,,,
Std-6616,Female,Group A,Some College,0,1,58,68,67,75,268,B,Eligible,67,4934,,,
Std-6615,Female,Group E,Some College,0,0,56,73,86,65,280,B,Eligible,70,3790,,,
Std-6614,Female,Group C,Associate'S Degree,1,1,97,81,44,82,304,B,Eligible,76,1729,,,
Std-6613,Female,Group D,Some High School,0,1,68,92,68,62,290,B,Eligible,72.5,2860,,,
Std-6612,Female,Group D,Some College,1,1,33,100,48,47,228,C,Eligible,57,8042,,,
Std-6611,Female,Group E,Master'S Degree,0,1,75,97,52,61,285,B,Eligible,71.25,3320,,,
Std-6610,Female,Group E,High School,0,0,77,74,81,75,307,B,Eligible,76.75,1541,,,
Std-661,Male,Group A,Bachelor'S Degree,1,0,47,91,63,69,270,B,Eligible,67.5,4738,,,
Std-6609,Female,Group D,Some College,1,0,90,81,77,47,295,B,Eligible,73.75,2414,,,
Std-6608,Female,Group C,High School,0,1,46,74,58,76,254,B,Eligible,63.5,6155,,,
Std-6607,Female,Group B,Some College,0,0,60,70,39,56,225,C,Eligible,56.25,8211,,,
Std-6606,Female,Group A,Associate'S Degree,0,0,88,63,78,32,261,B,Eligible,65.25,5557,,,
Std-6605,Female,Group A,Master'S Degree,0,0,35,65,74,46,220,C,Eligible,55,8487,,,
Std-6604,Female,Group C,Some College,0,1,66,23,46,71,206,C,Eligible,51.5,9042,,,
Std-6603,Female,Group C,Associate'S Degree,1,0,54,92,69,63,278,B,Eligible,69.5,3990,,,
Std-6602,Female,Group A,Bachelor'S Degree,0,0,81,90,70,85,326,A,Eligible,81.5,619,,,
Std-6601,Female,Group E,Some College,1,0,74,60,80,79,293,B,Eligible,73.25,2602,,,
Std-6600,Female,Group C,High School,0,1,53,100,79,32,264,B,Eligible,66,5291,,,
Std-660,Male,Group D,Master'S Degree,0,0,16,72,54,64,206,C,Eligible,51.5,9042,,,
Std-66,Male,Group D,Associate'S Degree,1,0,81,88,100,100,369,A,Eligible,92.25,17,,,
Std-6599,Female,Group C,High School,1,0,71,48,73,84,276,B,Eligible,69,4166,,,
Std-6598,Female,Group B,Associate'S Degree,1,0,59,69,54,68,250,B,Eligible,62.5,6492,,,
Std-6597,Female,Group D,Master'S Degree,1,1,71,90,65,67,293,B,Eligible,73.25,2602,,,
Std-6596,Female,Group B,Associate'S Degree,1,0,54,88,67,93,302,B,Eligible,75.5,1870,,,
Std-6595,Female,Group C,High School,1,1,69,41,73,48,231,C,Eligible,57.75,7883,,,
Std-6594,Female,Group D,High School,1,0,67,100,86,91,344,A,Eligible,86,180,,,
Std-6593,Female,Group C,Associate'S Degree,1,1,72,46,78,56,252,B,Eligible,63,6320,,,
Std-6592,Female,Group C,Bachelor'S Degree,0,1,93,48,69,59,269,B,Eligible,67.25,4839,,,
Std-6591,Female,Group E,High School,1,0,71,72,98,89,330,A,Eligible,82.5,494,,,
Std-6590,Female,Group B,Associate'S Degree,1,1,84,86,66,94,330,A,Eligible,82.5,494,,,
Std-659,Male,Group D,High School,1,1,54,48,82,66,250,B,Eligible,62.5,6492,,,
Std-6589,Female,Group C,Associate'S Degree,1,1,81,64,85,23,253,B,Eligible,63.25,6243,,,
Std-6588,Female,Group B,High School,1,1,31,75,89,42,237,C,Eligible,59.25,7503,,,
Std-6587,Female,Group D,Some College,1,1,64,35,91,46,236,C,Eligible,59,7557,,,
Std-6586,Female,Group E,High School,1,0,61,58,69,76,264,B,Eligible,66,5291,,,
Std-6585,Female,Group E,Bachelor'S Degree,0,0,58,72,79,73,282,B,Eligible,70.5,3602,,,
Std-6584,Female,Group E,Associate'S Degree,1,1,92,55,62,65,274,B,Eligible,68.5,4358,,,
Std-6583,Female,Group C,High School,1,0,59,76,84,37,256,B,Eligible,64,5987,,,
Std-6582,Female,Group C,Some High School,0,0,40,55,67,67,229,C,Eligible,57.25,7986,,,
Std-6581,Female,Group B,Some High School,0,0,79,46,95,63,283,B,Eligible,70.75,3512,,,
Std-6580,Female,Group E,Some College,1,1,38,73,92,74,277,B,Eligible,69.25,4080,,,
Std-658,Male,Group D,High School,1,0,20,74,87,60,241,C,Eligible,60.25,7197,,,
Std-6579,Female,Group C,Some High School,1,1,64,59,99,100,322,A,Eligible,80.5,754,,,
Std-6578,Female,Group E,Some High School,1,0,78,67,74,60,279,B,Eligible,69.75,3892,,,
Std-6577,Female,Group C,Associate'S Degree,1,1,73,37,75,74,259,B,Eligible,64.75,5736,,,
Std-6576,Female,Group C,Some High School,1,0,65,74,63,58,260,B,Eligible,65,5646,,,
Std-6575,Female,Group D,Bachelor'S Degree,0,0,27,85,74,60,246,C,Eligible,61.5,6814,,,
Std-6574,Female,Group C,Master'S Degree,1,1,48,76,73,33,230,C,Eligible,57.5,7929,,,
Std-6573,Female,Group C,Some College,1,0,69,38,47,79,233,C,Eligible,58.25,7738,,,
Std-6572,Female,Group D,Associate'S Degree,1,1,52,100,89,87,328,A,Eligible,82,563,,,
Std-6571,Female,Group D,Master'S Degree,0,0,45,88,88,78,299,B,Eligible,74.75,2119,,,
Std-6570,Female,Group B,Some College,0,0,83,39,100,72,294,B,Eligible,73.5,2500,,,
Std-657,Male,Group D,Associate'S Degree,0,0,68,98,89,76,331,A,Eligible,82.75,466,,,
Std-6569,Female,Group C,Some High School,1,1,69,57,60,75,261,B,Eligible,65.25,5557,,,
Std-6568,Female,Group D,Some High School,1,0,50,68,75,42,235,C,Eligible,58.75,7627,,,
Std-6567,Female,Group E,Some High School,1,1,68,85,74,63,290,B,Eligible,72.5,2860,,,
Std-6566,Female,Group D,Associate'S Degree,1,0,61,68,84,62,275,B,Eligible,68.75,4259,,,
Std-6565,Female,Group B,Bachelor'S Degree,0,0,65,60,82,65,272,B,Eligible,68,4563,,,
Std-6564,Female,Group D,Associate'S Degree,1,1,36,62,71,82,251,B,Eligible,62.75,6404,,,
Std-6563,Female,Group C,Bachelor'S Degree,0,0,34,71,72,71,248,C,Eligible,62,6641,,,
Std-6562,Female,Group D,Associate'S Degree,1,0,81,100,100,63,344,A,Eligible,86,180,,,
Std-6561,Female,Group D,Some College,1,0,86,75,87,79,327,A,Eligible,81.75,590,,,
Std-6560,Female,Group C,Some High School,1,1,60,46,41,38,185,D,Not Eligible,46.25,9599,,,
Std-656,Male,Group C,Some High School,1,1,69,100,71,86,326,A,Eligible,81.5,619,,,
Std-6559,Female,Group C,Some High School,1,0,50,50,100,66,266,B,Eligible,66.5,5101,,,
Std-6558,Female,Group E,High School,0,0,66,100,49,53,268,B,Eligible,67,4934,,,
Std-6557,Female,Group D,Some High School,1,0,31,68,77,78,254,B,Eligible,63.5,6155,,,
Std-6556,Female,Group B,Bachelor'S Degree,0,0,67,45,57,76,245,C,Eligible,61.25,6889,,,
Std-6555,Female,Group C,Associate'S Degree,1,0,74,71,72,62,279,B,Eligible,69.75,3892,,,
Std-6554,Female,Group C,Associate'S Degree,1,1,66,60,78,97,301,B,Eligible,75.25,1956,,,
Std-6553,Female,Group A,Some College,0,0,45,28,77,78,228,C,Eligible,57,8042,,,
Std-6552,Female,Group C,Associate'S Degree,0,0,53,59,71,78,261,B,Eligible,65.25,5557,,,
Std-6551,Female,Group D,High School,1,1,66,66,71,82,285,B,Eligible,71.25,3320,,,
Std-6550,Female,Group C,Some High School,1,0,97,75,55,75,302,B,Eligible,75.5,1870,,,
Std-655,Male,Group C,Some College,1,0,21,100,79,100,300,B,Eligible,75,2035,,,
Std-6549,Female,Group D,High School,1,0,64,97,95,91,347,A,Eligible,86.75,142,,,
Std-6548,Female,Group B,Some College,1,0,39,45,39,69,192,D,Not Eligible,48,9441,,,
Std-6547,Female,Group E,High School,1,0,44,36,77,35,192,D,Not Eligible,48,9441,,,
Std-6546,Female,Group B,Some College,1,0,27,49,99,88,263,B,Eligible,65.75,5373,,,
Std-6545,Female,Group E,Some College,1,0,84,71,82,54,291,B,Eligible,72.75,2781,,,
Std-6544,Female,Group C,High School,1,1,27,82,46,76,231,C,Eligible,57.75,7883,,,
Std-6543,Female,Group E,Associate'S Degree,0,0,86,54,100,63,303,B,Eligible,75.75,1795,,,
Std-6542,Female,Group C,High School,1,1,80,88,75,67,310,B,Eligible,77.5,1359,,,
Std-6541,Female,Group D,High School,1,0,93,80,99,72,344,A,Eligible,86,180,,,
Std-6540,Female,Group C,Some College,1,0,66,83,84,77,310,B,Eligible,77.5,1359,,,
Std-654,Male,Group B,Some High School,1,1,96,88,72,95,351,A,Eligible,87.75,100,,,
Std-6539,Female,Group E,Bachelor'S Degree,1,1,31,89,82,69,271,B,Eligible,67.75,4646,,,
Std-6538,Female,Group B,Some High School,1,0,62,52,100,93,307,B,Eligible,76.75,1541,,,
Std-6537,Female,Group D,Bachelor'S Degree,0,0,28,87,44,71,230,C,Eligible,57.5,7929,,,
Std-6536,Female,Group D,Some College,1,1,60,75,70,96,301,B,Eligible,75.25,1956,,,
Std-6535,Female,Group D,Some College,1,0,27,70,89,62,248,C,Eligible,62,6641,,,
Std-6534,Female,Group B,Some College,1,1,75,87,77,38,277,B,Eligible,69.25,4080,,,
Std-6533,Female,Group D,Associate'S Degree,1,0,77,73,72,69,291,B,Eligible,72.75,2781,,,
Std-6532,Female,Group B,Associate'S Degree,1,0,51,75,70,42,238,C,Eligible,59.5,7419,,,
Std-6531,Female,Group E,High School,1,1,73,94,91,81,339,A,Eligible,84.75,274,,,
Std-6530,Female,Group C,High School,1,0,66,88,75,76,305,B,Eligible,76.25,1658,,,
Std-653,Male,Group D,Some College,1,0,38,72,68,66,244,C,Eligible,61,6969,,,
Std-6529,Female,Group D,Associate'S Degree,1,1,64,56,81,73,274,B,Eligible,68.5,4358,,,
Std-6528,Female,Group D,Associate'S Degree,0,0,45,64,88,60,257,B,Eligible,64.25,5905,,,
Std-6527,Female,Group C,Some College,0,0,69,37,95,59,260,B,Eligible,65,5646,,,
Std-6526,Female,Group D,High School,1,0,30,81,89,83,283,B,Eligible,70.75,3512,,,
Std-6525,Female,Group E,High School,1,1,32,93,87,95,307,B,Eligible,76.75,1541,,,
Std-6524,Female,Group B,Bachelor'S Degree,1,1,64,85,97,73,319,B,Eligible,79.75,905,,,
Std-6523,Female,Group D,Bachelor'S Degree,1,1,61,73,55,56,245,C,Eligible,61.25,6889,,,
Std-6522,Female,Group C,Associate'S Degree,1,1,51,65,80,85,281,B,Eligible,70.25,3684,,,
Std-6521,Female,Group D,Associate'S Degree,1,1,67,81,96,85,329,A,Eligible,82.25,526,,,
Std-6520,Female,Group C,High School,1,0,86,48,75,96,305,B,Eligible,76.25,1658,,,
Std-652,Male,Group C,Bachelor'S Degree,1,0,83,34,71,100,288,B,Eligible,72,3038,,,
Std-6519,Female,Group B,Some High School,1,0,55,92,100,100,347,A,Eligible,86.75,142,,,
Std-6518,Female,Group E,Some High School,0,0,38,77,94,55,264,B,Eligible,66,5291,,,
Std-6517,Female,Group E,Some College,1,1,48,73,88,56,265,B,Eligible,66.25,5197,,,
Std-6516,Female,Group B,Bachelor'S Degree,1,1,76,65,85,84,310,B,Eligible,77.5,1359,,,
Std-6515,Female,Group C,Some College,1,0,57,40,57,100,254,B,Eligible,63.5,6155,,,
Std-6514,Female,Group D,Master'S Degree,0,0,68,59,64,95,286,B,Eligible,71.5,3238,,,
Std-6513,Female,Group E,Some High School,1,1,45,100,100,88,333,A,Eligible,83.25,414,,,
Std-6512,Female,Group D,Some College,1,0,82,96,76,57,311,B,Eligible,77.75,1306,,,
Std-6511,Female,Group C,Some College,0,1,50,88,98,78,314,B,Eligible,78.5,1135,,,
Std-6510,Female,Group D,High School,1,1,51,70,90,80,291,B,Eligible,72.75,2781,,,
Std-651,Male,Group B,High School,0,0,28,70,90,82,270,B,Eligible,67.5,4738,,,
Std-6509,Female,Group C,High School,1,1,27,100,57,41,225,C,Eligible,56.25,8211,,,
Std-6508,Female,Group C,Some High School,1,0,48,81,76,75,280,B,Eligible,70,3790,,,
Std-6507,Female,Group C,Some High School,1,0,54,78,60,64,256,B,Eligible,64,5987,,,
Std-6506,Female,Group D,High School,1,0,41,95,79,59,274,B,Eligible,68.5,4358,,,
Std-6505,Female,Group E,High School,0,1,33,52,97,53,235,C,Eligible,58.75,7627,,,
Std-6504,Female,Group E,Some College,1,0,53,100,90,72,315,B,Eligible,78.75,1079,,,
Std-6503,Female,Group C,Bachelor'S Degree,1,1,62,54,95,82,293,B,Eligible,73.25,2602,,,
Std-6502,Female,Group B,Some College,0,0,65,47,77,60,249,C,Eligible,62.25,6567,,,
Std-6501,Female,Group E,High School,0,0,69,98,97,57,321,A,Eligible,80.25,805,,,
Std-6500,Female,Group B,Associate'S Degree,0,0,52,60,99,98,309,B,Eligible,77.25,1419,,,
Std-650,Male,Group D,High School,1,0,57,98,54,75,284,B,Eligible,71,3422,,,
Std-65,Male,Group B,Bachelor'S Degree,1,1,85,82,80,72,319,B,Eligible,79.75,905,,,
Std-6499,Female,Group D,High School,1,0,46,55,33,87,221,C,Eligible,55.25,8431,,,
Std-6498,Female,Group C,Master'S Degree,0,1,93,75,67,51,286,B,Eligible,71.5,3238,,,
Std-6497,Female,Group B,Master'S Degree,1,1,74,94,76,78,322,A,Eligible,80.5,754,,,
Std-6496,Female,Group A,Associate'S Degree,1,0,88,80,59,24,251,B,Eligible,62.75,6404,,,
Std-6495,Female,Group A,Associate'S Degree,0,0,65,77,76,60,278,B,Eligible,69.5,3990,,,
Std-6494,Female,Group B,Some College,1,0,70,73,74,46,263,B,Eligible,65.75,5373,,,
Std-6493,Female,Group B,Some College,0,0,62,79,75,96,312,B,Eligible,78,1247,,,
Std-6492,Female,Group A,Master'S Degree,1,1,29,58,57,63,207,C,Eligible,51.75,9008,,,
Std-6491,Female,Group B,Some High School,1,0,63,67,61,71,262,B,Eligible,65.5,5475,,,
Std-6490,Female,Group C,High School,1,0,37,56,86,61,240,C,Eligible,60,7273,,,
Std-649,Male,Group D,Associate'S Degree,0,0,34,66,100,80,280,B,Eligible,70,3790,,,
Std-6489,Female,Group A,Some College,0,0,72,99,64,52,287,B,Eligible,71.75,3143,,,
Std-6488,Female,Group A,High School,1,1,27,68,43,41,179,D,Not Eligible,44.75,9710,,,
Std-6487,Female,Group A,Some College,0,0,57,100,67,69,293,B,Eligible,73.25,2602,,,
Std-6486,Female,Group C,Bachelor'S Degree,1,0,76,80,50,23,229,C,Eligible,57.25,7986,,,
Std-6485,Female,Group E,Some College,1,1,49,56,48,66,219,C,Eligible,54.75,8530,,,
Std-6484,Female,Group E,High School,1,0,27,41,100,97,265,B,Eligible,66.25,5197,,,
Std-6483,Female,Group B,Bachelor'S Degree,1,0,58,72,77,49,256,B,Eligible,64,5987,,,
Std-6482,Female,Group D,Some College,1,0,78,71,58,67,274,B,Eligible,68.5,4358,,,
Std-6481,Female,Group D,Some High School,0,0,53,97,90,59,299,B,Eligible,74.75,2119,,,
Std-6480,Female,Group D,High School,1,1,96,68,95,73,332,A,Eligible,83,440,,,
Std-648,Male,Group D,High School,1,0,49,88,79,75,291,B,Eligible,72.75,2781,,,
Std-6479,Female,Group A,Some High School,0,0,51,39,61,36,187,D,Not Eligible,46.75,9555,,,
Std-6478,Female,Group B,Some College,0,1,78,81,79,64,302,B,Eligible,75.5,1870,,,
Std-6477,Female,Group B,High School,0,1,54,86,94,54,288,B,Eligible,72,3038,,,
Std-6476,Female,Group C,Associate'S Degree,1,1,100,72,95,68,335,A,Eligible,83.75,367,,,
Std-6475,Female,Group C,High School,1,0,79,73,100,74,326,A,Eligible,81.5,619,,,
Std-6474,Female,Group C,High School,0,0,82,85,65,98,330,A,Eligible,82.5,494,,,
Std-6473,Female,Group D,High School,0,0,50,88,81,51,270,B,Eligible,67.5,4738,,,
Std-6472,Female,Group C,Some College,1,0,92,54,68,85,299,B,Eligible,74.75,2119,,,
Std-6471,Female,Group D,Some College,1,0,88,34,96,93,311,B,Eligible,77.75,1306,,,
Std-6470,Female,Group D,Some College,0,1,51,50,83,73,257,B,Eligible,64.25,5905,,,
Std-647,Male,Group C,Some College,0,1,50,82,87,100,319,B,Eligible,79.75,905,,,
Std-6469,Female,Group C,Some High School,1,1,54,85,65,65,269,B,Eligible,67.25,4839,,,
Std-6468,Female,Group C,Associate'S Degree,0,1,61,71,83,82,297,B,Eligible,74.25,2266,,,
Std-6467,Female,Group B,Some College,1,1,74,60,56,72,262,B,Eligible,65.5,5475,,,
Std-6466,Female,Group B,Some High School,1,0,100,78,80,74,332,A,Eligible,83,440,,,
Std-6465,Female,Group C,Associate'S Degree,1,1,88,65,84,92,329,A,Eligible,82.25,526,,,
Std-6464,Female,Group A,Master'S Degree,1,1,87,68,76,43,274,B,Eligible,68.5,4358,,,
Std-6463,Female,Group B,Master'S Degree,1,1,54,94,56,87,291,B,Eligible,72.75,2781,,,
Std-6462,Female,Group A,Associate'S Degree,0,0,64,60,93,48,265,B,Eligible,66.25,5197,,,
Std-6461,Female,Group C,Some College,1,0,33,38,74,76,221,C,Eligible,55.25,8431,,,
Std-6460,Female,Group D,Some College,0,1,70,62,100,80,312,B,Eligible,78,1247,,,
Std-646,Male,Group C,Some College,1,0,68,100,89,96,353,A,Eligible,88.25,89,,,
Std-6459,Female,Group C,High School,1,1,46,44,73,67,230,C,Eligible,57.5,7929,,,
Std-6458,Female,Group D,Master'S Degree,1,1,83,71,78,82,314,B,Eligible,78.5,1135,,,
Std-6457,Female,Group E,Bachelor'S Degree,1,0,94,74,85,88,341,A,Eligible,85.25,235,,,
Std-6456,Female,Group A,Some College,0,0,56,50,83,68,257,B,Eligible,64.25,5905,,,
Std-6455,Female,Group C,Bachelor'S Degree,1,1,87,60,94,100,341,A,Eligible,85.25,235,,,
Std-6454,Female,Group E,High School,1,0,52,82,96,60,290,B,Eligible,72.5,2860,,,
Std-6453,Female,Group B,Associate'S Degree,0,0,46,59,66,42,213,C,Eligible,53.25,8813,,,
Std-6452,Female,Group B,Some College,0,1,36,67,60,76,239,C,Eligible,59.75,7336,,,
Std-6451,Female,Group C,Associate'S Degree,1,1,61,62,68,81,272,B,Eligible,68,4563,,,
Std-6450,Female,Group C,High School,1,0,63,68,81,68,280,B,Eligible,70,3790,,,
Std-645,Male,Group E,Associate'S Degree,0,1,66,94,73,100,333,A,Eligible,83.25,414,,,
Std-6449,Female,Group D,Associate'S Degree,1,0,71,81,58,55,265,B,Eligible,66.25,5197,,,
Std-6448,Female,Group C,High School,1,0,88,50,74,53,265,B,Eligible,66.25,5197,,,
Std-6447,Female,Group D,Bachelor'S Degree,1,0,100,64,100,59,323,A,Eligible,80.75,714,,,
Std-6446,Female,Group D,Associate'S Degree,0,0,63,67,100,61,291,B,Eligible,72.75,2781,,,
Std-6445,Female,Group E,Associate'S Degree,1,0,57,54,45,74,230,C,Eligible,57.5,7929,,,
Std-6444,Female,Group D,Some College,0,0,85,87,85,46,303,B,Eligible,75.75,1795,,,
Std-6443,Female,Group C,Some College,0,1,71,55,81,75,282,B,Eligible,70.5,3602,,,
Std-6442,Female,Group E,Associate'S Degree,1,1,39,44,100,96,279,B,Eligible,69.75,3892,,,
Std-6441,Female,Group B,Some College,0,0,27,77,71,58,233,C,Eligible,58.25,7738,,,
Std-6440,Female,Group E,Some High School,1,0,58,41,97,81,277,B,Eligible,69.25,4080,,,
Std-644,Male,Group E,Some High School,0,0,79,75,69,77,300,B,Eligible,75,2035,,,
Std-6439,Female,Group B,High School,1,1,95,82,70,81,328,A,Eligible,82,563,,,
Std-6438,Female,Group B,Associate'S Degree,1,1,33,82,97,62,274,B,Eligible,68.5,4358,,,
Std-6437,Female,Group C,Some High School,0,0,71,63,78,60,272,B,Eligible,68,4563,,,
Std-6436,Female,Group D,Associate'S Degree,0,0,80,64,81,46,271,B,Eligible,67.75,4646,,,
Std-6435,Female,Group A,Associate'S Degree,1,1,27,50,100,59,236,C,Eligible,59,7557,,,
Std-6434,Female,Group D,Master'S Degree,1,1,62,86,67,23,238,C,Eligible,59.5,7419,,,
Std-6433,Female,Group D,Some College,1,1,78,42,90,60,270,B,Eligible,67.5,4738,,,
Std-6432,Female,Group C,Associate'S Degree,1,0,71,100,98,73,342,A,Eligible,85.5,217,,,
Std-6431,Female,Group C,Some College,1,1,74,41,39,68,222,C,Eligible,55.5,8375,,,
Std-6430,Female,Group A,High School,1,1,55,91,27,24,197,D,Not Eligible,49.25,9317,,,
Std-643,Male,Group C,High School,1,0,43,72,71,43,229,C,Eligible,57.25,7986,,,
Std-6429,Female,Group C,High School,1,0,51,60,70,88,269,B,Eligible,67.25,4839,,,
Std-6428,Female,Group B,Some College,0,0,59,58,86,56,259,B,Eligible,64.75,5736,,,
Std-6427,Female,Group E,Some College,0,1,74,57,75,69,275,B,Eligible,68.75,4259,,,
Std-6426,Female,Group D,Some College,1,0,68,49,95,79,291,B,Eligible,72.75,2781,,,
Std-6425,Female,Group A,High School,0,1,73,47,55,64,239,C,Eligible,59.75,7336,,,
Std-6424,Female,Group B,Bachelor'S Degree,0,0,94,79,55,59,287,B,Eligible,71.75,3143,,,
Std-6423,Female,Group C,Associate'S Degree,1,0,87,31,80,98,296,B,Eligible,74,2337,,,
Std-6422,Female,Group D,Bachelor'S Degree,0,0,60,90,81,51,282,B,Eligible,70.5,3602,,,
Std-6421,Female,Group D,Bachelor'S Degree,0,0,74,57,75,58,264,B,Eligible,66,5291,,,
Std-6420,Female,Group A,Some College,1,1,48,71,86,62,267,B,Eligible,66.75,5021,,,
Std-642,Male,Group B,Some College,1,1,69,49,61,36,215,C,Eligible,53.75,8725,,,
Std-6419,Female,Group D,Some College,1,1,57,83,88,72,300,B,Eligible,75,2035,,,
Std-6418,Female,Group D,Some High School,1,1,27,57,83,72,239,C,Eligible,59.75,7336,,,
Std-6417,Female,Group C,Master'S Degree,1,0,50,87,95,87,319,B,Eligible,79.75,905,,,
Std-6416,Female,Group E,High School,1,1,86,78,44,82,290,B,Eligible,72.5,2860,,,
Std-6415,Female,Group E,Associate'S Degree,1,0,58,59,77,46,240,C,Eligible,60,7273,,,
Std-6414,Female,Group B,High School,0,0,54,80,74,56,264,B,Eligible,66,5291,,,
Std-6413,Female,Group B,Associate'S Degree,0,0,81,92,93,63,329,A,Eligible,82.25,526,,,
Std-6412,Female,Group E,Associate'S Degree,0,1,63,72,74,60,269,B,Eligible,67.25,4839,,,
Std-6411,Female,Group C,Bachelor'S Degree,1,0,100,56,83,80,319,B,Eligible,79.75,905,,,
Std-6410,Female,Group C,Bachelor'S Degree,0,1,70,74,90,67,301,B,Eligible,75.25,1956,,,
Std-641,Male,Group B,High School,1,1,52,49,44,65,210,C,Eligible,52.5,8924,,,
Std-6409,Female,Group D,Some College,1,0,57,59,76,99,291,B,Eligible,72.75,2781,,,
Std-6408,Female,Group E,Associate'S Degree,0,0,48,85,73,41,247,C,Eligible,61.75,6731,,,
Std-6407,Female,Group A,High School,1,0,55,100,47,79,281,B,Eligible,70.25,3684,,,
Std-6406,Female,Group B,Some High School,0,0,47,60,84,68,259,B,Eligible,64.75,5736,,,
Std-6405,Female,Group E,Some College,1,0,29,93,78,31,231,C,Eligible,57.75,7883,,,
Std-6404,Female,Group A,Some High School,0,0,39,75,88,90,292,B,Eligible,73,2692,,,
Std-6403,Female,Group C,Master'S Degree,0,1,80,44,75,58,257,B,Eligible,64.25,5905,,,
Std-6402,Female,Group C,Some High School,0,0,83,85,96,65,329,A,Eligible,82.25,526,,,
Std-6401,Female,Group C,Bachelor'S Degree,1,0,27,100,99,100,326,A,Eligible,81.5,619,,,
Std-6400,Female,Group D,Associate'S Degree,1,0,56,61,81,47,245,C,Eligible,61.25,6889,,,
Std-640,Male,Group C,High School,1,1,100,61,38,29,228,C,Eligible,57,8042,,,
Std-64,Male,Group D,Some College,1,0,20,76,63,71,230,C,Eligible,57.5,7929,,,
Std-6399,Female,Group D,Some High School,1,1,47,63,100,80,290,B,Eligible,72.5,2860,,,
Std-6398,Female,Group D,Some High School,0,0,74,38,98,70,280,B,Eligible,70,3790,,,
Std-6397,Female,Group C,High School,1,0,54,78,30,86,248,C,Eligible,62,6641,,,
Std-6396,Female,Group D,Some High School,1,1,71,78,69,81,299,B,Eligible,74.75,2119,,,
Std-6395,Female,Group E,High School,0,0,39,65,96,41,241,C,Eligible,60.25,7197,,,
Std-6394,Female,Group E,Some College,1,1,88,60,91,68,307,B,Eligible,76.75,1541,,,
Std-6393,Female,Group E,Some College,1,0,41,48,88,58,235,C,Eligible,58.75,7627,,,
Std-6392,Female,Group C,High School,1,1,48,86,74,89,297,B,Eligible,74.25,2266,,,
Std-6391,Female,Group E,Associate'S Degree,1,0,60,74,86,65,285,B,Eligible,71.25,3320,,,
Std-6390,Female,Group E,Some High School,1,0,62,55,66,93,276,B,Eligible,69,4166,,,
Std-639,Male,Group E,High School,0,1,78,35,81,50,244,C,Eligible,61,6969,,,
Std-6389,Female,Group B,Bachelor'S Degree,1,0,97,56,81,76,310,B,Eligible,77.5,1359,,,
Std-6388,Female,Group A,Associate'S Degree,0,1,78,97,100,41,316,B,Eligible,79,1032,,,
Std-6387,Female,Group E,Associate'S Degree,0,0,39,100,73,40,252,B,Eligible,63,6320,,,
Std-6386,Female,Group C,Master'S Degree,1,0,85,84,63,89,321,A,Eligible,80.25,805,,,
Std-6385,Female,Group A,Associate'S Degree,0,1,49,76,90,96,311,B,Eligible,77.75,1306,,,
Std-6384,Female,Group E,Some High School,0,0,95,85,82,83,345,A,Eligible,86.25,171,,,
Std-6383,Female,Group B,Associate'S Degree,1,0,75,77,85,87,324,A,Eligible,81,688,,,
Std-6382,Female,Group C,High School,1,1,40,56,86,41,223,C,Eligible,55.75,8324,,,
Std-6381,Female,Group D,Master'S Degree,1,0,33,62,100,78,273,B,Eligible,68.25,4466,,,
Std-6380,Female,Group A,Some High School,1,0,64,82,97,53,296,B,Eligible,74,2337,,,
Std-638,Male,Group D,Some High School,1,1,100,40,38,59,237,C,Eligible,59.25,7503,,,
Std-6379,Female,Group C,Some College,0,1,75,70,75,55,275,B,Eligible,68.75,4259,,,
Std-6378,Female,Group C,Some College,0,0,51,100,95,91,337,A,Eligible,84.25,312,,,
Std-6377,Female,Group A,High School,1,1,31,65,50,70,216,C,Eligible,54,8679,,,
Std-6376,Female,Group A,Some College,1,0,49,63,72,65,249,C,Eligible,62.25,6567,,,
Std-6375,Female,Group C,Associate'S Degree,0,0,96,51,78,85,310,B,Eligible,77.5,1359,,,
Std-6374,Female,Group B,Some High School,1,1,61,50,83,62,256,B,Eligible,64,5987,,,
Std-6373,Female,Group C,Associate'S Degree,1,0,70,83,62,75,290,B,Eligible,72.5,2860,,,
Std-6372,Female,Group E,Some College,1,0,83,80,100,96,359,A,Eligible,89.75,47,,,
Std-6371,Female,Group C,Some College,0,0,69,56,96,66,287,B,Eligible,71.75,3143,,,
Std-6370,Female,Group B,Associate'S Degree,1,0,97,64,55,85,301,B,Eligible,75.25,1956,,,
Std-637,Male,Group D,Associate'S Degree,0,0,42,70,94,82,288,B,Eligible,72,3038,,,
Std-6369,Female,Group D,High School,1,0,58,58,80,41,237,C,Eligible,59.25,7503,,,
Std-6368,Female,Group A,Some College,0,0,82,75,86,35,278,B,Eligible,69.5,3990,,,
Std-6367,Female,Group A,Some College,1,1,48,89,65,85,287,B,Eligible,71.75,3143,,,
Std-6366,Female,Group D,Associate'S Degree,1,1,54,77,58,81,270,B,Eligible,67.5,4738,,,
Std-6365,Female,Group D,Some College,0,0,92,64,100,67,323,A,Eligible,80.75,714,,,
